buis,"[1000.0, 145]"
radiometer,"[1000.0, 130]"
geophysical,"[1000.0, 114]"
spectroradiometer,"[1000.0, 90]"
modis,"[1000.0, 88]"
0474,"[1000.0, 86]"
icebridge,"[1000.0, 82]"
landsat,"[1000.0, 80]"
spaceborne,"[1000.0, 76]"
icesat-2,"[1000.0, 65]"
altimeter,"[1000.0, 65]"
lidar,"[1000.0, 64]"
icesat,"[1000.0, 62]"
sounder,"[1000.0, 62]"
orbiting,"[1000.0, 57]"
°,"[1000.0, 53]"
oceanographer,"[1000.0, 53]"
giss,"[1000.0, 53]"
niña,"[1000.0, 51]"
ozone,"[0.12724815277500467, 118]"
nasa,"[0.09683703728330574, 1170]"
niño,"[0.09530758173744946, 93]"
glacier,"[0.09331293067184494, 210]"
greenland,"[0.08440121586098161, 167]"
arctic,"[0.08179316265154132, 235]"
aerosol,"[0.07975196173457122, 140]"
salinity,"[0.07940775408649656, 51]"
ice,"[0.07635842034205485, 498]"
methane,"[0.07463909752050506, 92]"
grace,"[0.07341727056872481, 86]"
carbon,"[0.06718739414317415, 375]"
noaa,"[0.061905055048867105, 167]"
hurricane,"[0.06167329685311825, 102]"
groundwater,"[0.057963581595621184, 57]"
dioxide,"[0.05544828144390146, 285]"
sea,"[0.05513816649743798, 555]"
ocean,"[0.0541461181081724, 602]"
antarctic,"[0.05378364915787384, 170]"
vapor,"[0.05279194391807399, 98]"
jpl,"[0.05232655242220756, 338]"
plume,"[0.05210338182578097, 66]"
visualization,"[0.0500165143325126, 64]"
earth,"[0.05000949192750651, 954]"
antarctica,"[0.04882698112097368, 177]"
satellite,"[0.048069156749315375, 843]"
forest,"[0.047261883111293077, 197]"
amazon,"[0.046507594736847103, 63]"
shelf,"[0.046389808888438445, 55]"
goddard,"[0.04529104978860287, 455]"
el,"[0.044732251161011115, 110]"
c,"[0.0436294971191934, 63]"
extent,"[0.04338693943770844, 148]"
dust,"[0.043268957497564715, 76]"
melt,"[0.042170982797095614, 294]"
cloud,"[0.04199836250152122, 299]"
moisture,"[0.04133580301797126, 126]"
climate,"[0.04113880008954101, 804]"
spacecraft,"[0.040962212742519176, 208]"
celsius,"[0.04083453610320117, 103]"
drought,"[0.04077778508578939, 177]"
fire,"[0.04077647381009731, 153]"
photosynthesis,"[0.04036059148978779, 56]"
solar,"[0.04031861376079351, 174]"
laser,"[0.03982626337833808, 116]"
instrument,"[0.03978742558608346, 561]"
sheet,"[0.039543095286229395, 217]"
kilometer,"[0.039368055561049435, 273]"
temperature,"[0.039045770227007184, 573]"
freshwater,"[0.03902676026135431, 61]"
monthly,"[0.039007387231347966, 84]"
measurement,"[0.03816270285552275, 592]"
wavelength,"[0.03774058278672026, 79]"
atmospheric,"[0.036886720811973715, 464]"
langley,"[0.036763880386066386, 104]"
caltech,"[0.03662399218580434, 66]"
storm,"[0.03656493625972952, 189]"
thaw,"[0.036562722916385376, 60]"
soil,"[0.03647582713520894, 177]"
mission,"[0.03632203589197125, 571]"
emission,"[0.03598934280046791, 231]"
