sdgs,"[1000.0, 63]"
°,"[1000.0, 54]"
wmo,"[1000.0, 50]"
unep,"[1000.0, 35]"
katowice,"[1000.0, 34]"
taalas,"[1000.0, 33]"
fao,"[0.08181915986560052, 38]"
climate,"[0.07423634011349987, 442]"
guterres,"[0.07026044760434126, 156]"
forest,"[0.06984351041747487, 60]"
biodiversity,"[0.06370881133708739, 81]"
cyclone,"[0.060435976464572314, 42]"
un,"[0.05657685001381795, 497]"
plastic,"[0.05006969217916574, 49]"
ocean,"[0.0476511002836009, 106]"
degradation,"[0.045343883572828064, 49]"
hurricane,"[0.04521605342972873, 55]"
farmer,"[0.0422835140581219, 64]"
species,"[0.040808148983507625, 58]"
disaster,"[0.03935869975678693, 128]"
marine,"[0.03878775813516005, 42]"
pacific,"[0.03808351363153913, 61]"
crop,"[0.03802195833895264, 61]"
wildfire,"[0.03773307686199347, 31]"
neutrality,"[0.03756804991733257, 46]"
pandemic,"[0.03754135777872256, 56]"
rainfall,"[0.037364253602613466, 43]"
caribbean,"[0.037304255549815146, 32]"
co2,"[0.037253799977369606, 37]"
renewable,"[0.03712427299472085, 66]"
coastal,"[0.035385862654144014, 50]"
indigenous,"[0.03518194400351591, 41]"
migration,"[0.03437654579005891, 51]"
pollution,"[0.03430113365854034, 88]"
sustainably,"[0.0338917782331362, 37]"
ms.,"[0.033796563629579494, 100]"
conservation,"[0.033656456719941205, 50]"
sustainable,"[0.03341914449708576, 225]"
emission,"[0.0330414058056137, 190]"
resilience,"[0.03297866985260158, 100]"
farm,"[0.032843779301342906, 44]"
antónio,"[0.03244316487322805, 95]"
waste,"[0.032386629151644926, 61]"
meteorological,"[0.031964446378496346, 69]"
habitat,"[0.03147228114870608, 32]"
agricultural,"[0.03136739776626216, 45]"
summit,"[0.03132110069843535, 101]"
2050,"[0.031216311203423632, 89]"
humanitarian,"[0.031203671756778465, 78]"
tourism,"[0.030847887839987424, 31]"
covid-19,"[0.030574597661465665, 48]"
carbon,"[0.030434990685832452, 167]"
ambition,"[0.030401497004735847, 97]"
fish,"[0.030276830508791687, 40]"
weather,"[0.030165905150517792, 128]"
coal,"[0.030020869952657132, 51]"
ecosystem,"[0.029770420042579612, 94]"
island,"[0.029536816230180667, 117]"
solar,"[0.029343880726487106, 44]"
envoy,"[0.029215726600156578, 35]"
tropical,"[0.02917106849857878, 47]"
agriculture,"[0.02914112679186432, 105]"
arctic,"[0.02857748174076038, 35]"
2030,"[0.028383382800943577, 109]"
sustainability,"[0.02826575318625832, 51]"
african,"[0.0282299283308252, 52]"
drought,"[0.02813752957448336, 96]"
programme,"[0.028114958331198397, 171]"
flood,"[0.028068537811878992, 110]"
hunger,"[0.02801180325617268, 48]"
petteri,"[0.027597867230872326, 31]"
c,"[0.027548729976319217, 54]"
refugee,"[0.026891491685544746, 43]"
temperature,"[0.026764430303678553, 166]"
youth,"[0.026682040473310204, 62]"
africa,"[0.026596291644601647, 105]"
mr.,"[0.026455485216161107, 237]"
celsius,"[0.02608089261770094, 85]"
tree,"[0.02598317325177287, 49]"
livelihood,"[0.025478577792681662, 95]"
mitigation,"[0.02547603746475683, 50]"
displacement,"[0.02518460330911928, 36]"
japan,"[0.02510812809312251, 33]"
animal,"[0.025091474368826777, 45]"
preserve,"[0.02506862816441308, 34]"
field,"[0.025001879342031852, 56]"
food,"[0.024712268246497717, 185]"
nature,"[0.024501496162126928, 73]"
rural,"[0.024461003804813697, 39]"
sea,"[0.024380678350380842, 118]"
governments,"[0.024333071818348227, 66]"
fossil,"[0.024249711301301595, 84]"
goals,"[0.024193671337585574, 36]"
india,"[0.02414752349844415, 50]"
resilient,"[0.02413075708553231, 78]"
unsustainable,"[0.024103066037480417, 32]"
republic,"[0.02390916968575422, 39]"
solidarity,"[0.02390180284349435, 42]"
headquarters,"[0.023824327714863317, 54]"
storm,"[0.023712260057415765, 75]"
assembly,"[0.023606674253065126, 78]"
displace,"[0.02358472979826512, 54]"
safeguard,"[0.02358198762125966, 32]"
planet,"[0.02357611723603399, 181]"
earth,"[0.02349982437864262, 76]"
insecurity,"[0.0234883281048735, 39]"
efficient,"[0.02345388395657082, 31]"
energy,"[0.023042675288035976, 155]"
dioxide,"[0.022699547763465028, 59]"
conflict,"[0.022693945260992728, 83]"
annually,"[0.022675769208700375, 45]"
water,"[0.02265641937732041, 178]"
adapt,"[0.022160576035714006, 51]"
nationally,"[0.022126050011453183, 31]"
environmental,"[0.022090600602293762, 125]"
land,"[0.022077265226777554, 136]"
cooperation,"[0.022061039129181077, 60]"
existential,"[0.02193216522046462, 37]"
global,"[0.021930190323074816, 355]"
warm,"[0.021629006678947457, 171]"
recovery,"[0.021540769158405814, 57]"
intergovernmental,"[0.021524280512548868, 59]"
harmful,"[0.021455630069678475, 52]"
action,"[0.021428448930586416, 307]"
electricity,"[0.02137259554494358, 31]"
poland,"[0.02131238851630842, 38]"
environment,"[0.021271848037199476, 181]"
secretary,"[0.021167710559358406, 245]"
greenhouse,"[0.021153759544030364, 123]"
asia,"[0.021142131456372514, 55]"
forum,"[0.021133731763431463, 48]"
adaptation,"[0.021060792601462652, 76]"
globally,"[0.021052267535640774, 60]"
paris,"[0.020869471340922437, 93]"
2020,"[0.020839539250630326, 110]"
mobilize,"[0.020822280516010375, 64]"
deputy,"[0.02078199603222382, 36]"
inclusive,"[0.020774063088395266, 35]"
change,"[0.020699719067432894, 422]"
inequality,"[0.020638870104030985, 44]"
rain,"[0.020636904588520362, 49]"
transport,"[0.020309408916261134, 54]"
initiative,"[0.02028870724318909, 102]"
framework,"[0.020264399796337422, 77]"
plant,"[0.020172734707497697, 96]"
dialogue,"[0.02017143230513292, 31]"
pattern,"[0.02013116672829619, 37]"
extreme,"[0.020056557476467625, 125]"
gender,"[0.02000810282596653, 51]"
development,"[0.019991917651535896, 273]"
monitor,"[0.019882592734507314, 40]"
child,"[0.01986931061928965, 96]"
atmosphere,"[0.019763757927603973, 53]"
collaboration,"[0.019688072614040025, 32]"
mitigate,"[0.019663951151524035, 53]"
concentration,"[0.01959899561760432, 36]"
combat,"[0.01958245902844535, 64]"
poverty,"[0.019511930660940167, 72]"
peace,"[0.019496937498607623, 62]"
hazard,"[0.019240517806095727, 37]"
cycle,"[0.019123529841903224, 33]"
zero,"[0.01906001526890525, 54]"
convention,"[0.019045809523946407, 71]"
disease,"[0.018984199277940414, 54]"
air,"[0.01898274824607419, 65]"
knowledge,"[0.0188750334847871, 36]"
awareness,"[0.0187353107179656, 52]"
coordinate,"[0.018677161207386685, 32]"
reduction,"[0.018578282294490368, 86]"
underscore,"[0.01852413634457095, 59]"
assistance,"[0.018497039771928663, 53]"
shelter,"[0.01847460522192134, 36]"
destruction,"[0.018471614927487476, 42]"
urban,"[0.018440991045840214, 42]"
degree,"[0.018421833566728982, 114]"
deadly,"[0.018271238729471836, 53]"
melt,"[0.018254362228443618, 38]"
equality,"[0.018197953420428344, 40]"
relief,"[0.018098288812948036, 33]"
prosperity,"[0.018031754587859064, 33]"
building,"[0.017987077219866567, 36]"
1.5,"[0.01796962928368184, 104]"
urgency,"[0.017966259447192698, 36]"
innovative,"[0.01793807319289368, 46]"
contribution,"[0.017922162995262607, 53]"
implementation,"[0.017887237518291712, 68]"
