buis,"[1000.0, 145]"
radiometer,"[1000.0, 130]"
geophysical,"[1000.0, 116]"
°,"[1000.0, 107]"
spectroradiometer,"[1000.0, 90]"
modis,"[1000.0, 88]"
0474,"[1000.0, 86]"
icebridge,"[1000.0, 82]"
landsat,"[1000.0, 80]"
spaceborne,"[1000.0, 76]"
icesat-2,"[1000.0, 65]"
altimeter,"[1000.0, 65]"
lidar,"[1000.0, 64]"
sdgs,"[1000.0, 63]"
icesat,"[1000.0, 62]"
sounder,"[1000.0, 62]"
orbiting,"[1000.0, 57]"
niña,"[1000.0, 56]"
oceanographer,"[1000.0, 53]"
giss,"[1000.0, 53]"
wmo,"[1000.0, 51]"
troposphere,"[1000.0, 50]"
oco-2,"[1000.0, 48]"
melting,"[1000.0, 47]"
oscillation,"[1000.0, 45]"
decadal,"[1000.0, 45]"
oceanography,"[1000.0, 45]"
suomi,"[1000.0, 45]"
0918,"[1000.0, 45]"
imager,"[1000.0, 45]"
npp,"[1000.0, 44]"
airs,"[1000.0, 43]"
altimetry,"[1000.0, 42]"
glaciologist,"[1000.0, 42]"
gravitational,"[1000.0, 42]"
observatory-2,"[1000.0, 42]"
cnes,"[1000.0, 40]"
geosciences,"[1000.0, 40]"
calibration,"[1000.0, 39]"
tropospheric,"[1000.0, 39]"
phytoplankton,"[1000.0, 39]"
unep,"[1000.0, 37]"
esprit,"[1000.0, 37]"
aerosols,"[1000.0, 37]"
modeler,"[1000.0, 36]"
topex,"[1000.0, 36]"
eumetsat,"[1000.0, 36]"
smap,"[1000.0, 36]"
cryosphere,"[1000.0, 35]"
poseidon,"[1000.0, 35]"
wallops,"[1000.0, 35]"
katowice,"[1000.0, 34]"
mapping,"[1000.0, 34]"
satellite-2,"[1000.0, 34]"
coauthor,"[1000.0, 34]"
taalas,"[1000.0, 33]"
viñas,"[1000.0, 33]"
hydrology,"[1000.0, 31]"
measurements,"[1000.0, 31]"
jason-2,"[1000.0, 31]"
ozone,"[0.1325626566515458, 126]"
undp,"[0.11959062477557875, 31]"
nasa,"[0.09676814358576472, 1171]"
niño,"[0.09553425493050684, 100]"
reef,"[0.0891360973761691, 58]"
glacier,"[0.08662818290660966, 234]"
coral,"[0.08583107109588593, 67]"
fao,"[0.08181915986560052, 38]"
greenland,"[0.0816893989132951, 174]"
salinity,"[0.07805747847690529, 53]"
aerosol,"[0.07768101786422063, 146]"
arctic,"[0.07489483364458824, 270]"
grace,"[0.07284237086069552, 87]"
ice,"[0.07240620050326574, 533]"
methane,"[0.07034677742957378, 103]"
guterres,"[0.07026044760434126, 156]"
aquifer,"[0.06775139209759097, 38]"
permafrost,"[0.06473600646535471, 44]"
noaa,"[0.06165861055841449, 169]"
monoxide,"[0.057345539141517084, 38]"
groundwater,"[0.056629475447368606, 59]"
hurricane,"[0.055908020494606, 157]"
carbon,"[0.055863314111115, 542]"
tsunami,"[0.0555602588310572, 36]"
un,"[0.05545399481717486, 510]"
snowpack,"[0.0553774920970566, 40]"
biodiversity,"[0.05387706165423869, 109]"
ocean,"[0.0531737001852846, 708]"
stratospheric,"[0.05309656756257569, 31]"
antarctic,"[0.05304480911528316, 183]"
iceberg,"[0.05298448323128608, 44]"
climate,"[0.05287966099691643, 1246]"
cyclone,"[0.0528076255133213, 91]"
deforestation,"[0.05261720208321195, 73]"
vapor,"[0.052598309254270226, 99]"
forest,"[0.05253385835787252, 257]"
jpl,"[0.05232655242220756, 338]"
plume,"[0.05210338182578097, 66]"
eruption,"[0.05113191482193386, 41]"
astronaut,"[0.050648088843923016, 34]"
visualization,"[0.0500165143325126, 64]"
dioxide,"[0.04983149281847777, 344]"
sea,"[0.049745323107612205, 673]"
earth,"[0.04805343878797869, 1030]"
antarctica,"[0.04777807467439793, 184]"
satellite,"[0.047762555846870176, 852]"
landslide,"[0.04694431945933232, 31]"
ipcc,"[0.046694475879581615, 39]"
shelf,"[0.046389808888438445, 55]"
