buis,"[1000.0, 145]"
radiometer,"[1000.0, 130]"
geophysical,"[1000.0, 116]"
°,"[1000.0, 107]"
spectroradiometer,"[1000.0, 90]"
modis,"[1000.0, 88]"
0474,"[1000.0, 86]"
icebridge,"[1000.0, 82]"
landsat,"[1000.0, 80]"
spaceborne,"[1000.0, 76]"
icesat-2,"[1000.0, 65]"
altimeter,"[1000.0, 65]"
lidar,"[1000.0, 64]"
sdgs,"[1000.0, 63]"
icesat,"[1000.0, 62]"
sounder,"[1000.0, 62]"
orbiting,"[1000.0, 57]"
niña,"[1000.0, 56]"
oceanographer,"[1000.0, 53]"
giss,"[1000.0, 53]"
wmo,"[1000.0, 51]"
ozone,"[0.1325626566515458, 126]"
nasa,"[0.09676814358576472, 1171]"
niño,"[0.09553425493050684, 100]"
reef,"[0.0891360973761691, 58]"
glacier,"[0.08662818290660966, 234]"
coral,"[0.08583107109588593, 67]"
greenland,"[0.0816893989132951, 174]"
salinity,"[0.07805747847690529, 53]"
aerosol,"[0.07768101786422063, 146]"
arctic,"[0.07489483364458824, 270]"
grace,"[0.07284237086069552, 87]"
ice,"[0.07240620050326574, 533]"
methane,"[0.07034677742957378, 103]"
guterres,"[0.07026044760434126, 156]"
noaa,"[0.06165861055841449, 169]"
groundwater,"[0.056629475447368606, 59]"
hurricane,"[0.055908020494606, 157]"
carbon,"[0.055863314111115, 542]"
un,"[0.05545399481717486, 510]"
biodiversity,"[0.05387706165423869, 109]"
ocean,"[0.0531737001852846, 708]"
antarctic,"[0.05304480911528316, 183]"
climate,"[0.05287966099691643, 1246]"
cyclone,"[0.0528076255133213, 91]"
deforestation,"[0.05261720208321195, 73]"
vapor,"[0.052598309254270226, 99]"
forest,"[0.05253385835787252, 257]"
jpl,"[0.05232655242220756, 338]"
plume,"[0.05210338182578097, 66]"
visualization,"[0.0500165143325126, 64]"
dioxide,"[0.04983149281847777, 344]"
sea,"[0.049745323107612205, 673]"
earth,"[0.04805343878797869, 1030]"
antarctica,"[0.04777807467439793, 184]"
satellite,"[0.047762555846870176, 852]"
shelf,"[0.046389808888438445, 55]"
co2,"[0.046356488454892236, 65]"
plastic,"[0.04610386205462004, 56]"
goddard,"[0.04529104978860287, 455]"
amazon,"[0.044443287790638504, 70]"
el,"[0.04260663887240624, 126]"
dust,"[0.04158811037485907, 81]"
cloud,"[0.04142910537123709, 305]"
moisture,"[0.041008390437312414, 128]"
spacecraft,"[0.040962212742519176, 208]"
photosynthesis,"[0.04036059148978779, 56]"
extent,"[0.03946077192850561, 169]"
melt,"[0.039433538274177615, 332]"
laser,"[0.039353959681343816, 118]"
kilometer,"[0.039185148154524486, 275]"
instrument,"[0.03913158518090343, 579]"
freshwater,"[0.038227686257239386, 73]"
sheet,"[0.03814759400850735, 229]"
solar,"[0.03810353002909864, 218]"
monthly,"[0.038075906522420835, 87]"
degradation,"[0.03804990685615197, 76]"
measurement,"[0.03803389833217108, 596]"
pandemic,"[0.03801570519651487, 65]"
wavelength,"[0.03774058278672026, 79]"
langley,"[0.036763880386066386, 104]"
caltech,"[0.03662399218580434, 66]"
atmospheric,"[0.03649780292889034, 476]"
drought,"[0.03633286007082462, 273]"
temperature,"[0.03628703893164512, 739]"
c,"[0.03620760459171299, 117]"
thaw,"[0.035964753928090655, 63]"
soil,"[0.03596374836406245, 206]"
millimeter,"[0.035931978127891846, 54]"
vegetation,"[0.0356556975531544, 176]"
glacial,"[0.035578418396970096, 56]"
mission,"[0.03527492271954398, 602]"
airborne,"[0.034836421556497146, 237]"
vandenberg,"[0.03481808654324938, 58]"
farmer,"[0.03476573721532721, 98]"
fire,"[0.03475983289916626, 204]"
emission,"[0.034658919928680976, 421]"
precipitation,"[0.03464019834781687, 166]"
observatory,"[0.03453848021330494, 161]"
thickness,"[0.034530105148937715, 84]"
nitrogen,"[0.034421702255159246, 53]"
particle,"[0.0342884382477568, 145]"
wildfire,"[0.03421282661085831, 140]"
